,Antigua & Barbuda,Argentina,Australia,Austria,Belgium,Belize,Benin,Brazil,Bulgaria,Cambodia,Cameroon,Chile,"China, People's Rep.",Colombia,"Congo, Republic of",Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,Eritrea,Estonia,Finland,France,Gabon,Gambia,Germany,"Ghana, Rep. of",Greece,Grenada,Guatemala,"Guinea, Rep. of",Guinea-Bissau,Hungary,Iceland,India,Ireland,Israel,Italy,Jamaica,Japan,Kenya,Kiribati,"Korea, Republic of","Lao, People's Dem. Rep.","Liberia, Republic of",Lithuania,Luxembourg,Mali,"Marshall Islands, Rep. of",Mauritania,Mexico,Monaco,Mongolia,Morocco,Nauru,Netherlands,New Zealand,Nicaragua,Norway,Oman,"Palau, Rep. of",Panama,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,San Marino,Sao Tome & Principe,Senegal,Seychelles,Slovak Republic,Slovenia,Solomon Islands,South Africa,Spain,St. Kitts and Nevis,St. Lucia,St. Vincent & G.,Suriname,Sweden,Switzerland,Tanzania,Togo,Tuvalu,UK,Uruguay,USA,USSR,Venezuela
Nicaragua,37.0,2.0,4.0,3.0,3.0,6.0,37.0,2.0,1.0,7.0,15.0,2.0,26.0,0.0,,1.0,14.0,2.0,2.0,2.0,13.0,36.0,0.0,1.0,,,,3.0,3.0,22.0,5.0,3.0,,1.0,37.0,,36.0,0.0,2.0,36.0,3.0,4.0,2.0,3.0,,37.0,4.0,12.0,25.0,1.0,1.0,0.0,2.0,6.0,7.0,24.0,2.0,3.0,33.0,20.0,11.0,3.0,3.0,41.0,38.0,5.0,36.0,17.0,3.0,,1.0,3.0,,35.0,2.0,1.0,13.0,,2.0,2.0,32.0,2.0,3.0,33.0,37.0,26.0,19.0,4.0,3.0,1.0,4.0,21.0,3.0,1.0,2.0,,
Norway,125.0,6.0,13.0,11.0,5.0,6.0,64.0,9.0,1.0,23.0,21.0,12.0,99.0,2.0,,1.0,26.0,3.0,3.0,3.0,76.0,136.0,2.0,1.0,0.0,3.0,4.0,15.0,13.0,43.0,7.0,14.0,14.0,0.0,142.0,0.0,90.0,3.0,2.0,68.0,10.0,16.0,5.0,8.0,,177.0,6.0,31.0,96.0,19.0,2.0,0.0,5.0,8.0,9.0,33.0,16.0,6.0,67.0,51.0,25.0,11.0,12.0,38.0,196.0,29.0,61.0,48.0,7.0,0.0,5.0,4.0,,109.0,4.0,2.0,17.0,4.0,3.0,6.0,131.0,14.0,14.0,102.0,165.0,142.0,31.0,20.0,25.0,14.0,8.0,41.0,16.0,1.0,16.0,7.0,
Oman,36.0,79.0,93.0,88.0,25.0,7.0,9.0,96.0,,4.0,6.0,96.0,40.0,3.0,,5.0,8.0,6.0,3.0,17.0,75.0,23.0,2.0,4.0,1.0,,5.0,105.0,95.0,13.0,2.0,97.0,2.0,2.0,23.0,1.0,15.0,2.0,24.0,12.0,72.0,105.0,12.0,73.0,,25.0,6.0,8.0,44.0,4.0,,,18.0,3.0,2.0,7.0,92.0,93.0,12.0,24.0,6.0,102.0,94.0,5.0,29.0,168.0,11.0,23.0,29.0,0.0,5.0,41.0,,38.0,42.0,,5.0,10.0,17.0,8.0,28.0,109.0,108.0,21.0,25.0,28.0,9.0,109.0,97.0,3.0,2.0,10.0,96.0,4.0,99.0,0.0,
"Palau, Rep. of",61.0,2.0,4.0,3.0,2.0,6.0,63.0,2.0,,12.0,17.0,2.0,49.0,1.0,,1.0,16.0,0.0,2.0,0.0,25.0,60.0,1.0,1.0,,,2.0,4.0,2.0,44.0,7.0,3.0,3.0,0.0,63.0,0.0,57.0,3.0,0.0,45.0,4.0,3.0,2.0,2.0,,63.0,1.0,19.0,37.0,6.0,,,2.0,8.0,8.0,28.0,3.0,1.0,58.0,32.0,18.0,3.0,3.0,36.0,61.0,11.0,65.0,34.0,4.0,,2.0,1.0,,54.0,2.0,,17.0,,0.0,3.0,51.0,3.0,3.0,59.0,62.0,41.0,23.0,5.0,6.0,3.0,8.0,28.0,4.0,1.0,5.0,,
Panama,49.0,39.0,36.0,36.0,35.0,12.0,32.0,38.0,2.0,1.0,2.0,35.0,47.0,10.0,,16.0,0.0,11.0,11.0,28.0,39.0,48.0,10.0,17.0,,,8.0,37.0,37.0,27.0,0.0,36.0,1.0,5.0,49.0,3.0,47.0,0.0,29.0,21.0,23.0,36.0,20.0,35.0,,50.0,5.0,2.0,36.0,1.0,0.0,1.0,30.0,0.0,0.0,5.0,38.0,34.0,29.0,30.0,2.0,33.0,36.0,17.0,48.0,23.0,34.0,90.0,25.0,,10.0,27.0,,28.0,27.0,0.0,1.0,,27.0,15.0,43.0,32.0,35.0,48.0,50.0,35.0,2.0,35.0,32.0,1.0,1.0,4.0,36.0,13.0,32.0,,
Peru,4.0,51.0,47.0,46.0,22.0,4.0,3.0,53.0,2.0,0.0,1.0,54.0,5.0,10.0,,16.0,0.0,11.0,10.0,13.0,25.0,3.0,10.0,17.0,0.0,,7.0,46.0,47.0,14.0,0.0,46.0,0.0,5.0,4.0,3.0,2.0,0.0,17.0,3.0,42.0,43.0,14.0,46.0,,4.0,8.0,0.0,12.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,49.0,47.0,2.0,8.0,0.0,46.0,46.0,3.0,7.0,29.0,4.0,25.0,58.0,0.0,9.0,38.0,,9.0,36.0,0.0,1.0,0.0,12.0,14.0,4.0,44.0,46.0,3.0,4.0,2.0,0.0,47.0,40.0,0.0,0.0,0.0,46.0,13.0,44.0,1.0,
Philippines,0.0,0.0,0.0,,,0.0,,0.0,,,,1.0,1.0,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,1.0,,,,,,,0.0,0.0,,,,1.0,0.0,,0.0,0.0,,0.0,1.0,,,,0.0,0.0,0.0,0.0,
Poland,3.0,14.0,15.0,18.0,18.0,,2.0,14.0,3.0,3.0,1.0,13.0,1.0,12.0,,13.0,3.0,9.0,6.0,16.0,16.0,,13.0,8.0,,0.0,15.0,18.0,18.0,14.0,,18.0,3.0,,3.0,,3.0,,11.0,4.0,9.0,18.0,16.0,17.0,,4.0,1.0,4.0,5.0,4.0,1.0,1.0,18.0,,1.0,1.0,16.0,15.0,4.0,5.0,2.0,18.0,17.0,1.0,5.0,5.0,2.0,10.0,9.0,,18.0,3.0,,5.0,1.0,1.0,,,14.0,18.0,1.0,16.0,17.0,3.0,3.0,2.0,1.0,18.0,15.0,4.0,1.0,4.0,18.0,14.0,17.0,,
Portugal,3.0,57.0,58.0,58.0,35.0,9.0,3.0,57.0,3.0,2.0,0.0,56.0,6.0,2.0,,7.0,3.0,7.0,7.0,25.0,27.0,1.0,2.0,7.0,,,,60.0,60.0,4.0,1.0,59.0,,5.0,2.0,3.0,2.0,1.0,32.0,3.0,50.0,53.0,13.0,57.0,,2.0,9.0,2.0,16.0,2.0,1.0,1.0,25.0,1.0,1.0,2.0,57.0,57.0,2.0,3.0,2.0,59.0,59.0,3.0,4.0,41.0,1.0,27.0,38.0,,3.0,63.0,,6.0,56.0,1.0,3.0,,25.0,9.0,2.0,60.0,61.0,2.0,1.0,3.0,2.0,58.0,52.0,1.0,0.0,3.0,60.0,3.0,58.0,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,95.0,27.0,31.0,24.0,6.0,5.0,57.0,27.0,1.0,24.0,21.0,32.0,84.0,3.0,,3.0,25.0,2.0,3.0,3.0,67.0,79.0,4.0,1.0,,2.0,4.0,31.0,27.0,37.0,7.0,30.0,12.0,0.0,89.0,0.0,65.0,3.0,3.0,55.0,29.0,36.0,5.0,16.0,,103.0,7.0,30.0,80.0,18.0,3.0,0.0,5.0,8.0,10.0,29.0,34.0,27.0,62.0,39.0,25.0,30.0,28.0,35.0,109.0,38.0,54.0,28.0,9.0,,5.0,6.0,,167.0,6.0,3.0,17.0,10.0,3.0,6.0,76.0,39.0,32.0,74.0,101.0,80.0,31.0,38.0,38.0,13.0,8.0,39.0,30.0,2.0,32.0,,
San Marino,3.0,60.0,58.0,58.0,32.0,9.0,1.0,60.0,,0.0,1.0,55.0,6.0,1.0,,7.0,0.0,7.0,6.0,22.0,25.0,2.0,1.0,6.0,,0.0,1.0,58.0,59.0,3.0,0.0,59.0,0.0,5.0,2.0,3.0,2.0,0.0,32.0,2.0,48.0,53.0,13.0,61.0,,1.0,8.0,1.0,14.0,0.0,,,22.0,0.0,0.0,1.0,59.0,59.0,1.0,6.0,1.0,57.0,59.0,2.0,4.0,42.0,2.0,27.0,36.0,,1.0,56.0,,6.0,65.0,,1.0,,23.0,6.0,3.0,58.0,59.0,2.0,2.0,4.0,1.0,58.0,52.0,0.0,0.0,0.0,59.0,2.0,58.0,,
Sao Tome & Principe,2.0,0.0,1.0,1.0,1.0,,3.0,0.0,1.0,3.0,,0.0,,0.0,,0.0,3.0,1.0,1.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,0.0,,1.0,,,2.0,,3.0,,,3.0,1.0,1.0,1.0,1.0,,3.0,2.0,3.0,2.0,3.0,3.0,0.0,1.0,,2.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,,,0.0,0.0,,1.0,1.0,,3.0,,3.0,,,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,,3.0,1.0,0.0,1.0,,
Senegal,18.0,3.0,3.0,2.0,2.0,3.0,18.0,2.0,,5.0,12.0,1.0,12.0,,,2.0,13.0,1.0,1.0,2.0,10.0,17.0,,1.0,1.0,,,3.0,3.0,17.0,5.0,3.0,,1.0,17.0,1.0,16.0,2.0,2.0,17.0,4.0,3.0,1.0,1.0,,17.0,1.0,11.0,10.0,2.0,,,2.0,5.0,4.0,16.0,3.0,2.0,17.0,7.0,9.0,4.0,3.0,13.0,17.0,5.0,17.0,1.0,1.0,0.0,,3.0,,17.0,1.0,,21.0,1.0,2.0,2.0,14.0,3.0,4.0,17.0,17.0,15.0,16.0,3.0,3.0,,3.0,17.0,4.0,1.0,4.0,0.0,
Seychelles,1.0,8.0,15.0,0.0,,1.0,,11.0,,,,10.0,6.0,,,1.0,,,,,9.0,6.0,,,1.0,,,16.0,19.0,,,15.0,,,3.0,,,,,0.0,11.0,14.0,,,,5.0,1.0,,7.0,,,,,,,,11.0,10.0,,,,16.0,16.0,,4.0,10.0,,,0.0,0.0,,,,10.0,,,1.0,30.0,,,3.0,15.0,17.0,0.0,5.0,4.0,,19.0,16.0,,,,16.0,1.0,15.0,0.0,
Slovak Republic,2.0,34.0,32.0,36.0,36.0,9.0,2.0,34.0,3.0,2.0,1.0,30.0,4.0,9.0,,16.0,4.0,15.0,8.0,36.0,20.0,0.0,10.0,11.0,,0.0,11.0,35.0,36.0,12.0,0.0,36.0,2.0,5.0,2.0,3.0,3.0,0.0,33.0,2.0,18.0,36.0,24.0,35.0,,3.0,1.0,3.0,6.0,3.0,1.0,1.0,36.0,0.0,1.0,1.0,35.0,32.0,3.0,4.0,1.0,34.0,35.0,2.0,3.0,17.0,0.0,27.0,12.0,,14.0,25.0,,3.0,23.0,1.0,2.0,,37.0,19.0,1.0,33.0,35.0,2.0,2.0,1.0,1.0,33.0,30.0,3.0,0.0,4.0,36.0,12.0,34.0,,
Slovenia,4.0,19.0,20.0,23.0,23.0,4.0,3.0,19.0,3.0,4.0,1.0,18.0,3.0,12.0,,18.0,4.0,14.0,11.0,21.0,18.0,1.0,13.0,13.0,,0.0,15.0,24.0,23.0,15.0,1.0,23.0,3.0,5.0,4.0,3.0,4.0,1.0,16.0,5.0,15.0,23.0,21.0,22.0,,5.0,1.0,5.0,6.0,5.0,1.0,1.0,23.0,1.0,1.0,2.0,21.0,20.0,5.0,5.0,3.0,23.0,22.0,2.0,6.0,8.0,3.0,15.0,14.0,,18.0,9.0,,6.0,6.0,1.0,2.0,,19.0,24.0,1.0,20.0,23.0,4.0,3.0,3.0,2.0,24.0,20.0,4.0,1.0,5.0,24.0,15.0,22.0,,
Solomon Islands,95.0,6.0,5.0,5.0,1.0,6.0,53.0,4.0,1.0,8.0,14.0,8.0,86.0,0.0,,0.0,14.0,1.0,1.0,1.0,58.0,116.0,0.0,0.0,,,,9.0,5.0,38.0,3.0,6.0,,0.0,116.0,,68.0,1.0,0.0,41.0,5.0,15.0,1.0,4.0,,132.0,3.0,16.0,70.0,4.0,3.0,0.0,1.0,4.0,7.0,23.0,9.0,5.0,49.0,44.0,13.0,4.0,4.0,32.0,131.0,28.0,51.0,43.0,4.0,,1.0,2.0,,76.0,3.0,3.0,14.0,3.0,1.0,1.0,153.0,10.0,6.0,76.0,125.0,113.0,22.0,15.0,19.0,3.0,4.0,23.0,7.0,0.0,7.0,,
South Africa,22.0,131.0,151.0,141.0,46.0,8.0,5.0,145.0,3.0,5.0,1.0,144.0,30.0,10.0,,14.0,6.0,12.0,8.0,34.0,85.0,9.0,11.0,10.0,0.0,1.0,13.0,165.0,151.0,14.0,1.0,156.0,4.0,3.0,10.0,2.0,5.0,1.0,40.0,7.0,109.0,149.0,24.0,111.0,,12.0,10.0,6.0,51.0,6.0,1.0,1.0,36.0,1.0,1.0,3.0,149.0,141.0,6.0,11.0,4.0,159.0,154.0,2.0,14.0,109.0,3.0,32.0,44.0,1.0,16.0,60.0,,39.0,58.0,1.0,3.0,15.0,33.0,20.0,10.0,199.0,164.0,8.0,12.0,13.0,3.0,161.0,152.0,5.0,1.0,7.0,155.0,12.0,156.0,0.0,
Spain,21.0,141.0,173.0,150.0,49.0,10.0,4.0,167.0,3.0,4.0,1.0,146.0,24.0,12.0,,18.0,5.0,13.0,11.0,37.0,85.0,5.0,12.0,12.0,1.0,0.0,14.0,173.0,177.0,15.0,1.0,179.0,3.0,5.0,8.0,3.0,5.0,1.0,42.0,6.0,125.0,158.0,26.0,118.0,,9.0,10.0,5.0,42.0,5.0,1.0,1.0,39.0,1.0,1.0,2.0,149.0,157.0,5.0,11.0,3.0,178.0,176.0,3.0,14.0,108.0,3.0,35.0,46.0,0.0,17.0,61.0,,32.0,59.0,1.0,4.0,17.0,35.0,23.0,6.0,164.0,199.0,6.0,11.0,12.0,2.0,162.0,149.0,4.0,1.0,6.0,177.0,15.0,176.0,0.0,
St. Kitts and Nevis,103.0,4.0,6.0,6.0,3.0,6.0,63.0,3.0,1.0,23.0,21.0,4.0,75.0,2.0,,0.0,24.0,2.0,2.0,2.0,47.0,90.0,1.0,1.0,,2.0,2.0,9.0,6.0,44.0,7.0,5.0,11.0,0.0,102.0,0.0,88.0,3.0,1.0,56.0,5.0,6.0,3.0,5.0,,104.0,5.0,28.0,65.0,17.0,3.0,0.0,3.0,8.0,10.0,28.0,5.0,4.0,66.0,46.0,23.0,6.0,6.0,33.0,102.0,21.0,59.0,48.0,3.0,,3.0,2.0,,74.0,2.0,3.0,17.0,0.0,2.0,4.0,76.0,8.0,6.0,113.0,105.0,80.0,29.0,8.0,12.0,11.0,9.0,40.0,6.0,1.0,7.0,,
St. Lucia,128.0,6.0,13.0,7.0,3.0,7.0,67.0,6.0,1.0,24.0,22.0,11.0,103.0,2.0,,1.0,25.0,2.0,2.0,2.0,71.0,133.0,1.0,1.0,1.0,3.0,2.0,11.0,10.0,45.0,6.0,12.0,14.0,0.0,145.0,0.0,90.0,2.0,1.0,65.0,7.0,12.0,3.0,6.0,,167.0,8.0,31.0,85.0,19.0,3.0,0.0,3.0,7.0,10.0,31.0,17.0,7.0,70.0,49.0,26.0,8.0,9.0,37.0,165.0,25.0,62.0,50.0,4.0,0.0,3.0,1.0,,101.0,2.0,3.0,17.0,5.0,2.0,3.0,125.0,12.0,11.0,105.0,185.0,149.0,31.0,17.0,23.0,14.0,9.0,41.0,12.0,2.0,13.0,4.0,
St. Vincent & G.,102.0,7.0,11.0,7.0,2.0,6.0,44.0,6.0,1.0,14.0,13.0,11.0,90.0,0.0,,1.0,16.0,1.0,2.0,1.0,65.0,115.0,0.0,0.0,1.0,2.0,1.0,12.0,10.0,30.0,5.0,11.0,6.0,0.0,118.0,1.0,66.0,2.0,0.0,43.0,8.0,17.0,2.0,7.0,,139.0,9.0,19.0,68.0,10.0,2.0,0.0,2.0,6.0,8.0,22.0,17.0,8.0,46.0,50.0,18.0,10.0,8.0,26.0,142.0,28.0,41.0,35.0,2.0,0.0,2.0,3.0,,80.0,4.0,2.0,15.0,4.0,1.0,3.0,113.0,13.0,12.0,80.0,149.0,181.0,26.0,19.0,26.0,8.0,6.0,31.0,12.0,1.0,15.0,4.0,
Suriname,31.0,1.0,3.0,2.0,1.0,2.0,28.0,0.0,1.0,16.0,17.0,1.0,16.0,0.0,,0.0,22.0,1.0,1.0,1.0,13.0,22.0,0.0,0.0,,3.0,0.0,2.0,1.0,23.0,7.0,1.0,5.0,0.0,27.0,0.0,30.0,3.0,0.0,32.0,3.0,1.0,1.0,2.0,,31.0,7.0,24.0,18.0,11.0,3.0,0.0,1.0,8.0,10.0,26.0,1.0,1.0,32.0,18.0,23.0,3.0,2.0,19.0,31.0,9.0,23.0,2.0,0.0,,1.0,2.0,,31.0,1.0,3.0,16.0,,1.0,2.0,22.0,3.0,2.0,29.0,31.0,26.0,33.0,5.0,7.0,8.0,5.0,30.0,2.0,0.0,3.0,,
Sweden,23.0,130.0,154.0,139.0,46.0,10.0,4.0,150.0,3.0,4.0,3.0,145.0,31.0,12.0,,19.0,5.0,14.0,11.0,35.0,93.0,12.0,13.0,13.0,1.0,0.0,15.0,168.0,154.0,17.0,1.0,160.0,3.0,5.0,14.0,3.0,8.0,1.0,39.0,7.0,108.0,150.0,27.0,119.0,,16.0,11.0,7.0,40.0,5.0,1.0,1.0,37.0,1.0,1.0,4.0,147.0,142.0,8.0,12.0,5.0,165.0,155.0,4.0,20.0,109.0,5.0,35.0,47.0,0.0,18.0,58.0,,38.0,58.0,1.0,3.0,19.0,33.0,24.0,15.0,161.0,162.0,8.0,17.0,19.0,5.0,199.0,163.0,4.0,1.0,6.0,158.0,16.0,159.0,0.0,
Switzerland,24.0,121.0,146.0,136.0,39.0,9.0,6.0,137.0,2.0,5.0,3.0,133.0,32.0,9.0,,14.0,6.0,13.0,8.0,31.0,91.0,13.0,10.0,10.0,0.0,1.0,13.0,155.0,154.0,16.0,1.0,153.0,3.0,4.0,17.0,3.0,10.0,2.0,34.0,10.0,98.0,145.0,23.0,108.0,,19.0,8.0,8.0,45.0,6.0,1.0,0.0,33.0,1.0,2.0,6.0,138.0,131.0,10.0,14.0,6.0,151.0,146.0,3.0,25.0,97.0,6.0,32.0,40.0,1.0,15.0,52.0,,38.0,52.0,1.0,3.0,16.0,30.0,20.0,19.0,152.0,149.0,12.0,23.0,26.0,7.0,163.0,199.0,4.0,2.0,8.0,151.0,11.0,152.0,0.0,
Tanzania,13.0,0.0,3.0,4.0,4.0,,10.0,0.0,1.0,13.0,4.0,0.0,3.0,2.0,,0.0,11.0,3.0,2.0,3.0,5.0,,1.0,0.0,,3.0,3.0,4.0,4.0,1.0,,4.0,12.0,,10.0,,11.0,,2.0,14.0,2.0,4.0,4.0,4.0,,15.0,6.0,16.0,10.0,15.0,3.0,0.0,4.0,,2.0,5.0,2.0,1.0,15.0,11.0,11.0,4.0,5.0,1.0,14.0,3.0,3.0,1.0,0.0,,4.0,1.0,,13.0,0.0,3.0,,,3.0,4.0,3.0,5.0,4.0,11.0,14.0,8.0,8.0,4.0,4.0,18.0,3.0,16.0,4.0,0.0,5.0,,
Togo,8.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,,9.0,4.0,0.0,6.0,0.0,,0.0,2.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,,,1.0,1.0,1.0,6.0,4.0,1.0,4.0,0.0,9.0,,4.0,1.0,0.0,8.0,0.0,1.0,1.0,1.0,,9.0,,7.0,7.0,5.0,,,1.0,4.0,5.0,4.0,1.0,0.0,9.0,4.0,9.0,1.0,1.0,4.0,8.0,2.0,8.0,1.0,0.0,,1.0,0.0,,8.0,0.0,,3.0,,0.0,1.0,4.0,1.0,1.0,9.0,9.0,6.0,5.0,1.0,2.0,3.0,9.0,8.0,1.0,0.0,3.0,,
Tuvalu,40.0,2.0,4.0,6.0,5.0,2.0,35.0,1.0,1.0,23.0,17.0,1.0,23.0,2.0,,0.0,28.0,3.0,2.0,4.0,19.0,24.0,1.0,0.0,,3.0,3.0,6.0,5.0,27.0,6.0,5.0,14.0,0.0,37.0,0.0,37.0,3.0,3.0,41.0,4.0,5.0,4.0,4.0,,42.0,8.0,31.0,30.0,20.0,3.0,0.0,5.0,7.0,9.0,28.0,4.0,1.0,43.0,23.0,24.0,7.0,6.0,21.0,41.0,10.0,28.0,4.0,0.0,,4.0,3.0,,39.0,0.0,3.0,17.0,,4.0,5.0,23.0,7.0,6.0,40.0,41.0,31.0,30.0,6.0,8.0,16.0,8.0,48.0,6.0,0.0,8.0,,
UK,23.0,141.0,188.0,163.0,50.0,10.0,5.0,177.0,3.0,4.0,1.0,145.0,16.0,12.0,,19.0,5.0,14.0,11.0,38.0,80.0,7.0,13.0,13.0,1.0,0.0,15.0,179.0,186.0,17.0,1.0,191.0,3.0,5.0,9.0,3.0,5.0,1.0,43.0,6.0,127.0,153.0,27.0,127.0,,12.0,10.0,5.0,36.0,5.0,1.0,1.0,40.0,1.0,1.0,2.0,148.0,161.0,6.0,9.0,3.0,187.0,191.0,3.0,16.0,96.0,4.0,36.0,46.0,0.0,18.0,60.0,,30.0,59.0,1.0,4.0,16.0,36.0,24.0,7.0,155.0,177.0,6.0,12.0,12.0,2.0,158.0,151.0,4.0,1.0,6.0,199.0,16.0,192.0,0.0,
Uruguay,2.0,20.0,16.0,15.0,15.0,1.0,0.0,18.0,2.0,0.0,1.0,17.0,0.0,16.0,,18.0,0.0,7.0,5.0,14.0,13.0,,16.0,13.0,1.0,0.0,12.0,15.0,16.0,14.0,,16.0,0.0,1.0,1.0,,0.0,0.0,10.0,2.0,10.0,15.0,13.0,14.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,15.0,,0.0,0.0,17.0,17.0,0.0,1.0,0.0,16.0,15.0,1.0,1.0,4.0,1.0,13.0,13.0,0.0,14.0,3.0,,2.0,2.0,0.0,1.0,1.0,12.0,15.0,0.0,12.0,15.0,1.0,2.0,1.0,0.0,16.0,11.0,0.0,0.0,0.0,16.0,20.0,14.0,0.0,
USA,23.0,139.0,185.0,158.0,47.0,10.0,6.0,174.0,3.0,6.0,1.0,144.0,19.0,11.0,,17.0,5.0,13.0,9.0,35.0,83.0,4.0,12.0,11.0,1.0,0.0,14.0,178.0,180.0,16.0,1.0,186.0,4.0,4.0,10.0,3.0,4.0,2.0,41.0,8.0,125.0,151.0,25.0,126.0,,11.0,10.0,7.0,36.0,7.0,1.0,1.0,37.0,1.0,2.0,2.0,143.0,161.0,7.0,10.0,5.0,188.0,185.0,2.0,16.0,99.0,5.0,32.0,44.0,0.0,17.0,58.0,,32.0,58.0,1.0,4.0,15.0,34.0,22.0,7.0,156.0,176.0,7.0,13.0,15.0,3.0,159.0,152.0,5.0,3.0,8.0,192.0,14.0,199.0,0.0,
USSR,0.0,0.0,0.0,,,0.0,,1.0,,,,0.0,0.0,,,0.0,,,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,7.0,0.0,0.0,,,,7.0,0.0,,1.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,7.0,0.0,,,1.0,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,,4.0,4.0,,0.0,0.0,,,,0.0,0.0,0.0,7.0,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
